"signature","type","channel","fraction"
"CN5","2","2:LOH:100kb-1Mb",0.255496412069659
"CN5","2","2:LOH:1Mb-10Mb",0.264575823642576
"CN5","2","2:LOH:10Mb-40Mb",0.0670658914703041
"CN5","2","2:LOH:>40Mb",0.0196164904498135
"CN5","3-4","3-4:LOH:0-100kb",0.00548025505847605
"CN5","3-4","3-4:LOH:100kb-1Mb",0.0268557702561035
"CN5","3-4","3-4:LOH:1Mb-10Mb",0.0295190456009488
"CN5","3-4","3-4:LOH:10Mb-40Mb",0.0045520901203037
"CN5","3-4","3-4:LOH:>40Mb",0.000735890019262701
"CN5","5-8","5-8:LOH:0-100kb",0.0006645299943433
"CN5","5-8","5-8:LOH:100kb-1Mb",0.00065250499777695
"CN5","5-8","5-8:LOH:1Mb-10Mb",0.00027818500416155
"CN5","5-8","5-8:LOH:10Mb-40Mb",0.00012570500237695
"CN5","5-8","5-8:LOH:>40Mb",9.87500029621001e-05
"CN5","9+","9+:LOH:0-100kb",0.00131259502216805
"CN5","9+","9+:LOH:100kb-1Mb",0.0033062500572351
"CN5","9+","9+:LOH:1Mb-10Mb",0.00064922499703415
"CN5","9+","9+:LOH:10Mb-40Mb",1.513500045205e-05
"CN5","9+","9+:LOH:>40Mb",1.23100003687e-05
"CN5","2","2:het:0-100kb",0.0017338699898295
"CN5","2","2:het:100kb-1Mb",0.0083596599379462
"CN5","2","2:het:1Mb-10Mb",0.047988819735162
"CN5","2","2:het:10Mb-40Mb",0.0401899100271285
"CN5","2","2:het:>40Mb",6.1500001185e-07
"CN5","3-4","3-4:het:0-100kb",0.00429509499173965
"CN5","3-4","3-4:het:100kb-1Mb",0.0273863248544784
"CN5","3-4","3-4:het:1Mb-10Mb",0.0154011251298442
"CN5","3-4","3-4:het:10Mb-40Mb",0.0203845804898656
"CN5","3-4","3-4:het:>40Mb",0.00297415508407925
"CN5","5-8","5-8:het:0-100kb",0.00336830501398355
"CN5","5-8","5-8:het:100kb-1Mb",0.00720901493463165
"CN5","5-8","5-8:het:1Mb-10Mb",0.00830954494086235
"CN5","5-8","5-8:het:10Mb-40Mb",0.000973130008842101
"CN5","5-8","5-8:het:>40Mb",0.0012768400382912
"CN5","9+","9+:het:0-100kb",0.00302902502894695
"CN5","9+","9+:het:100kb-1Mb",0.00738561995063
"CN5","9+","9+:het:1Mb-10Mb",0.006117539940007
"CN5","9+","9+:het:10Mb-40Mb",6.79400011268e-05
"CN5","9+","9+:het:>40Mb",9.30000027890001e-05
"CN6","0","0:homdel:0-100kb",0.00349249975552502
"CN6","0","0:homdel:100kb-1Mb",0.00755030947147834
"CN6","0","0:homdel:>1Mb",0.00133616990646811
"CN6","1","1:LOH:0-100kb",0.00595582958309193
"CN6","1","1:LOH:100kb-1Mb",0.0105207592635469
"CN6","1","1:LOH:1Mb-10Mb",0.000991509930594305
"CN6","1","1:LOH:10Mb-40Mb",0.000409939971304202
"CN6","1","1:LOH:>40Mb",0.000179169987458101
"CN6","2","2:LOH:0-100kb",0.0192514486523986
"CN6","2","2:LOH:100kb-1Mb",0.177292157589549
"CN6","2","2:LOH:1Mb-10Mb",0.1163828518532
"CN6","2","2:LOH:10Mb-40Mb",0.00632480955726333
"CN6","2","2:LOH:>40Mb",0.000260929981734901
"CN6","3-4","3-4:LOH:0-100kb",0.00505182964637192
"CN6","3-4","3-4:LOH:100kb-1Mb",0.0135102790542805
"CN6","3-4","3-4:LOH:1Mb-10Mb",0.00409703971320722
"CN6","3-4","3-4:LOH:10Mb-40Mb",5.60699960751003e-05
"CN6","3-4","3-4:LOH:>40Mb",0.000328549977001502
"CN6","5-8","5-8:LOH:0-100kb",0.000489489965735702
"CN6","5-8","5-8:LOH:100kb-1Mb",0.000310459978267801
"CN6","5-8","5-8:LOH:1Mb-10Mb",0.000214349984995501
"CN6","5-8","5-8:LOH:10Mb-40Mb",0.000117709991760301
"CN6","5-8","5-8:LOH:>40Mb",0.000304059978715801
"CN6","9+","9+:LOH:0-100kb",0.00493141965480062
"CN6","9+","9+:LOH:100kb-1Mb",0.00545953961783223
"CN6","9+","9+:LOH:1Mb-10Mb",0.000867159939298804
"CN6","9+","9+:LOH:10Mb-40Mb",1.26799991124001e-05
"CN6","9+","9+:LOH:>40Mb",3.39999976200002e-05
"CN6","2","2:het:0-100kb",0.00356139975070202
"CN6","2","2:het:100kb-1Mb",0.00180745987347781
"CN6","2","2:het:1Mb-10Mb",0.00862874939598754
"CN6","2","2:het:10Mb-40Mb",0.00893151937479364
"CN6","2","2:het:>40Mb",0.00200752985947291
"CN6","3-4","3-4:het:0-100kb",0.00949946933503715
"CN6","3-4","3-4:het:100kb-1Mb",0.205503725614739
"CN6","3-4","3-4:het:1Mb-10Mb",0.233334903666557
"CN6","3-4","3-4:het:10Mb-40Mb",0.0629906555906541
"CN6","3-4","3-4:het:>40Mb",0.00240526983163111
"CN6","5-8","5-8:het:0-100kb",0.00362531974622762
"CN6","5-8","5-8:het:100kb-1Mb",0.00454923968155322
"CN6","5-8","5-8:het:1Mb-10Mb",0.00205141985640061
"CN6","5-8","5-8:het:10Mb-40Mb",0.000264269981501101
"CN6","5-8","5-8:het:>40Mb",2.18999984670001e-05
"CN6","9+","9+:het:0-100kb",0.0167008988309371
"CN6","9+","9+:het:100kb-1Mb",0.043428956959973
"CN6","9+","9+:het:1Mb-10Mb",0.00489713965720022
"CN6","9+","9+:het:10Mb-40Mb",3.35799976494002e-05
"CN6","9+","9+:het:>40Mb",2.35699983501001e-05
"CN7","0","0:homdel:0-100kb",0
"CN7","0","0:homdel:100kb-1Mb",0
"CN7","0","0:homdel:>1Mb",0
"CN7","1","1:LOH:0-100kb",0.00011082
"CN7","1","1:LOH:100kb-1Mb",0.0050408
"CN7","1","1:LOH:1Mb-10Mb",7.442e-05
"CN7","1","1:LOH:10Mb-40Mb",2e-08
"CN7","1","1:LOH:>40Mb",0
"CN7","2","2:LOH:0-100kb",0.00277607
"CN7","2","2:LOH:100kb-1Mb",0.0045434
"CN7","2","2:LOH:1Mb-10Mb",0.00457336
"CN7","2","2:LOH:10Mb-40Mb",4.105e-05
"CN7","2","2:LOH:>40Mb",0
"CN7","3-4","3-4:LOH:0-100kb",0.00420447
"CN7","3-4","3-4:LOH:100kb-1Mb",0.0023279
"CN7","3-4","3-4:LOH:1Mb-10Mb",0.00021573
"CN7","3-4","3-4:LOH:10Mb-40Mb",7.9e-07
"CN7","3-4","3-4:LOH:>40Mb",6.74e-06
"CN7","5-8","5-8:LOH:0-100kb",0.00552275
"CN7","5-8","5-8:LOH:100kb-1Mb",0.00682636
"CN7","5-8","5-8:LOH:1Mb-10Mb",6.776e-05
"CN7","5-8","5-8:LOH:10Mb-40Mb",0
"CN7","5-8","5-8:LOH:>40Mb",4.933e-05
"CN7","9+","9+:LOH:0-100kb",0.00632901
"CN7","9+","9+:LOH:100kb-1Mb",0.02139771
"CN7","9+","9+:LOH:1Mb-10Mb",0.01464548
"CN7","9+","9+:LOH:10Mb-40Mb",6.1e-07
"CN7","9+","9+:LOH:>40Mb",2e-08
"CN7","2","2:het:0-100kb",0.00021658
"CN7","2","2:het:100kb-1Mb",0.00209292
"CN7","2","2:het:1Mb-10Mb",0.00016457
"CN7","2","2:het:10Mb-40Mb",0
"CN7","2","2:het:>40Mb",3.1e-07
"CN7","3-4","3-4:het:0-100kb",0.00362014
"CN7","3-4","3-4:het:100kb-1Mb",0.06003456
"CN7","3-4","3-4:het:1Mb-10Mb",0.12143735
"CN7","3-4","3-4:het:10Mb-40Mb",0.00493032
"CN7","3-4","3-4:het:>40Mb",0.00022509
"CN7","5-8","5-8:het:0-100kb",0.01467759
"CN7","5-8","5-8:het:100kb-1Mb",0.16196039
"CN7","5-8","5-8:het:1Mb-10Mb",0.21136197
"CN7","5-8","5-8:het:10Mb-40Mb",0.0048432
"CN7","5-8","5-8:het:>40Mb",0.00032996
"CN7","9+","9+:het:0-100kb",0.02554054
"CN7","9+","9+:het:100kb-1Mb",0.16018674
"CN7","9+","9+:het:1Mb-10Mb",0.14906452
"CN7","9+","9+:het:10Mb-40Mb",0.00053612
"CN7","9+","9+:het:>40Mb",2.253e-05
"CN8","0","0:homdel:0-100kb",0.0002162600043252
"CN8","0","0:homdel:100kb-1Mb",0.0007209750144195
"CN8","0","0:homdel:>1Mb",0.0002693400053584
"CN8","1","1:LOH:0-100kb",0.0009504050155768
"CN8","1","1:LOH:100kb-1Mb",0.0072836301456726
"CN8","1","1:LOH:1Mb-10Mb",0.0022049050440981
